prj_title,year,beneficiaries,sector,status,region,implementor,cost
Utilization of DOST-FNRI Complementary Food Technology for Improved Nutritional Status of Malnourished Children in GIDA communities of Misamis Occidental,2021,514 malnourished young children from 13 municipalities and cities in Misamis Occidental,Other Regional Industry Priorities,On-going,Region X,PSTC-MISAMIS OCCIDENTAL,"457,040.00"
"Utilization of DOST-FNRI Food Technology to Improve the Nutrition of Children in ELCAC Communities of Tangub City, Misamis Occidental-D2",2021,574 young children ages of 6-36 months old,Other Regional Industry Priorities,On-going,Region X,PSTC-MISAMIS OCCIDENTAL,"785,135.00"
Utilization of Enhanced Patient Transport Vehicle for Safer & More Effective COVID Patient Handling,2021,Local Government Unit of Salay,Agriculture / Marine / Aquaculture / Forestry / Livestock,On-going,Region X,PSTC-MISAMIS ORIENTAL,"571,200.00"
Utilization of Enhanced Patient Transport Vehicle for Safer & More Effective COVID Patient Handling,2021,Local Government Unit of Salay,Health & Wellness Products,On-going,Region X,PSTC-MISAMIS ORIENTAL,"571,200.00"
"Utilization of FNRI Food Technologies for the Improvement of Health Status Among 6-59 Months Old Children in Libertad, Misamis Oriental-D2",2021,Local Government Unit of Libertad,Health & Wellness Products,On-going,Region X,PSTC-MISAMIS ORIENTAL,"329,400.00"
"Utilization of FNRI Food Technology for the Reduction of Malnutrition Status Among 6059 months old in Balingoan, Misamis Oriental-D1",2021,Local Government Unit of Balingoan,Health & Wellness Products,On-going,Region X,PSTC-MISAMIS ORIENTAL,"291,900.00"
"Utilization of Improved Technologies on Processing of Camote and Processed Meat Products of Subanen Women Community in the ELCAC and GIDA Barangays in Tudela, Misamis Occidental-D2",2021,Tinaburan Subanen Tudela Misamis Occidental Incorporated,Food Processing,On-going,Region X,PSTC-MISAMIS OCCIDENTAL,"555,600.00"
Utilization of Solar Assisted Pyrolysis in the Conversion of Plastic Waste into Fuel,2021,Best Agri-Products Processing Cooperative (BAPPCO) and Carbon Cycle Inc.,Metals & Engineering,On-going,Region X,RO-CONSORTIA,"2,014,194.00"
"Utilizing the DOST-MIRDC Electric Potter's Wheel and Jigger and Jolly machine Science & Technology Innovation to Upgrade the Clay Pots and Bricks Making Facility of Provincial Ceramic Center in Baroy, LDN D-1",2021,Provincial Government of Lanao del Norte,Gifts / Decors / Handicrafts,On-going,Region X,PSTC-LANAO DEL NORTE,"613,300.00"
Vermicomposting Technology,2008,Camiguin Polytechnic State College,Agriculture / Marine / Aquaculture / Forestry / Livestock,On-going,Region X,PSTC-CAMIGUIN,"50,000.00"
"Visayas Information Communication Technology Organization (VICTOR) Conference of the Regional Development Council (RDC) 6, 7, 8 with the ICT Councils",2012,Iloilo Federation for Information Technology (IFIT) Inc.,ICT,Completed,Region VI,PSTC-ILOILO,"73,400.00"
"Water Contamination Eradication to Reduce Contamination-related Health Cases in Barangay Kibangay through the Provision of Communal Water Purifier Technology in Barangay Kibangay, Lantapan, Bukidnon",2018,LGU Lantapan,Health & Wellness Products,Completed,Region X,PSTC-BUKIDNON,"212,585.00"
